"","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","ResidntCntry","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean"
"97",28,"Female","Yes Kids","ltuni","unemployed",10000,"",3,4,"Large-City","Philippines","Single","1",0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes",5,3.13333333333333,3,5
"98",45,"Female","No Kids","deg","part-time",25000,"Financial Consultant",0,6,"Large Town","Malaysia","Divorced","0",0,5,5,3,5,5,5,5,5,1,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.6,4.33333333333333,5,1
"101",32.5,"Male","Yes Kids","phd","full-time",45000,"",3,0,"Village","Malaysia","Married","1",0,3,2,3,2,2,1,2,4,2,3,1,1,3,2,3,4,3,4,2,2,3,2,4,3,4,3,3,4,4,3,5,3,3,4,3,5,5,4,3,5,3,4,4,3,3,"no","no",2.4,2.46666666666667,3.65,3.4
"102",20,"Male","No Kids","deg","student",NA,"",2,0,"Village","Malaysia","Single","0",0,3,1,5,1,1,1,3,5,5,2,5,5,4,1,5,1,1,1,3,1,2,1,1,3,1,3,1,1,2,1,5,1,1,3,3,5,5,2,3,1,4,4,4,3,3,"yes","no",2.2,2.86666666666667,2.25,3.6
"104",24,"Male","No Kids","phd","full-time",15000,"IT Consultant",0,6,"Large-City","Greece","Single","0",0,5,2,1,2,3,1,2,2,5,5,4,5,5,2,5,2,5,5,5,3,4,1,3,3,4,3,3,3,3,3,2,4,1,2,4,4,3,4,5,3,3,4,4,4,5,"yes","yes",2.6,3.73333333333333,3.1,4
"105",20,"Male","No Kids","ltuni","part-time",NA,"Programmer",0,3,"Large-City","Greece","Single","0",0,4,3,4,3,3,2,1,3,1,3,3,5,4,3,4,4,1,4,1,3,4,2,2,4,1,1,1,2,4,2,2,4,3,3,2,4,3,4,4,4,4,4,5,3,4,"yes","yes",3.4,2.8,2.8,4
"106",37.5,"Male","Yes Kids","high","full-time",25000,"airport ground handler",9,0,"Medium-Sized","Greece","Separated","1",4,3,4,4,3,3,3,2,4,4,4,3,2,5,4,3,5,2,4,2,4,4,2,4,5,5,5,3,4,3,2,4,2,3,2,4,5,4,4,5,4,1,2,2,1,1,"yes","no",3.4,3.4,3.7,1.4
"107",32.5,"Male","No Kids","ma","full-time",25000,"Computer Programmer",2,6,"Large-City","Greece","Single","0",0,5,5,3,4,4,3,4,4,4,5,5,3,4,5,5,3,3,5,3,5,5,3,4,5,3,5,4,3,5,4,5,5,3,3,4,5,5,4,5,4,2,2,3,1,1,"yes","yes",4.2,4.06666666666667,4.2,1.8
"108",67.5,"Male","Yes Kids","phd","retired",25000,"",0,0,"Village","Greece","Married","1",1,4,4,4,3,3,1,1,1,2,2,4,5,4,3,3,4,2,2,1,2,3,2,1,1,1,2,3,3,5,1,5,3,1,1,3,3,2,3,3,3,1,1,1,1,4,"yes","no",3.6,2.46666666666667,2.45,1.6
"109",37.5,"Male","No Kids","ma","full-time",67500,"",14,0,"Village","Greece","Single","0",0,2,4,5,4,4,4,2,5,1,5,1,4,4,2,4,5,4,2,1,5,4,1,4,1,5,5,5,4,4,1,5,3,5,4,5,3,2,2,5,4,2,2,3,2,2,"yes","yes",3.8,3.26666666666667,3.6,2.2
"110",24,"Female","No Kids","ltuni","student",10000,"",6,0,"Small Town","Greece","Single","0",0,5,5,4,3,3,4,4,4,4,4,4,5,5,4,4,3,4,4,4,3,4,1,2,3,5,1,4,4,4,3,3,4,4,3,1,2,3,2,4,5,4,4,5,4,5,"yes","yes",4,4,3.1,4.4
"111",25,"Male","No Kids","ltuni","student",NA,"",0,0,"Village","Greece","Single","0",0,4,3,2,2,1,1,2,2,2,4,5,1,4,3,5,1,4,3,1,1,4,4,4,3,1,2,4,4,5,3,3,5,2,3,4,4,3,5,5,4,2,4,2,2,3,"yes","yes",2.4,2.6,3.6,2.6
"112",24,"Male","No Kids","deg","student",NA,"",0,0,"Village","Greece","Single","0",0,4,3,2,3,3,3,2,5,5,3,5,5,5,5,5,5,3,5,1,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5,3,5,5,5,1,3,1,1,5,"yes","yes",3,4.13333333333333,4.7,2.2
"113",45,"Female","No Kids","ltuni","part-time",15000,"Teacher",0,4,"Medium-Sized","Denmark","Married","0",0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,3,1,2,1,1,3,1,1,1,2,1,3,2,3,1,2,3,1,1,3,3,3,4,4,5,4,4,4,5,2,"yes","no",1,1.4,2.35,3.8
"115",28,"Female","No Kids","ma","student",15000,"",0,0,"Small Town","Denmark","","0",0,4,4,4,3,3,1,1,2,2,4,5,4,4,3,4,2,3,2,2,1,4,1,3,4,2,1,4,4,4,2,4,4,1,2,4,4,3,4,4,4,2,2,2,2,2,"yes","yes",3.6,2.66666666666667,3.15,2
"116",45,"Male","Yes Kids","ma","full-time",67500,"",1,0,"Large Town","Denmark","Married","1",3,5,4,4,3,3,1,3,5,5,4,5,5,1,5,5,1,4,4,1,1,5,1,3,1,1,1,4,3,4,3,3,4,5,3,1,5,4,5,4,5,1,1,1,2,2,"yes","yes",3.8,3.33333333333333,3.25,1.4
"117",37.5,"Male","No Kids","ma","student",10000,"",0,0,"Small Town","Denmark","Married","0",0,3,3,3,2,2,1,1,2,3,2,5,3,3,3,4,2,2,1,2,2,3,2,4,2,3,1,3,3,4,2,3,4,1,3,3,3,2,3,4,3,4,5,4,3,2,"yes","no",2.6,2.4,2.8,3.6
"118",37.5,"Male","Yes Kids","ma","full-time",87500,"",4,8,"Village","Denmark","Married","0",2,4,3,2,1,1,1,1,5,3,3,3,2,4,2,2,1,2,3,2,3,3,3,3,2,3,2,3,3,3,2,4,4,2,2,4,4,3,4,2,2,2,4,3,3,3,"yes","no",2.2,2.46666666666667,2.9,3
"119",45,"Female","Yes Kids","ltuni","full-time",55000,"",0,3,"Village","Denmark","Married","1",1,3,3,3,3,3,2,2,3,3,3,3,3,4,3,3,2,2,3,2,2,3,3,3,2,3,4,4,3,3,3,4,3,2,3,3,4,4,3,4,3,4,4,4,3,3,"yes","no",3,2.66666666666667,3.2,3.6
"120",32.5,"Female","No Kids","deg","student",NA,"",0,0,"Small Town","Denmark","Single","0",0,2,4,2,2,2,1,1,3,3,3,5,3,5,2,4,1,3,3,2,3,4,2,2,2,3,1,3,4,4,2,4,3,2,3,4,5,3,4,2,4,3,3,4,4,5,"yes","no",2.4,2.8,3.05,3.8
"121",45,"Female","Yes Kids","ma","full-time",55000,"",1,0,"Village","Denmark","Divorced","0",1,5,5,4,4,4,4,2,2,3,3,3,4,3,3,3,3,3,5,3,5,5,2,3,5,5,4,3,3,4,3,4,4,4,3,5,3,3,5,5,5,3,3,3,3,2,"yes","yes",4.4,3.26666666666667,3.9,2.8
"122",22,"Male","No Kids","ltuni","student",10000,"Computer Science",5,6,"Large-City","Spain","Single","0",0,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,5,1,2,1,1,1,1,2,5,5,2,2,1,2,2,4,2,1,3,1,1,1,2,2,3,4,3,1,4,4,"no","no",1.4,1.53333333333333,2.15,3.2
"124",22,"Male","No Kids","grade","unemployed",10000,"Unemployed",0,0,"Large Town","Spain","Single","0",0,5,5,5,5,5,5,2,2,5,5,4,5,5,5,5,5,2,4,3,5,5,5,5,5,3,2,5,5,5,4,1,5,4,5,4,5,4,5,5,5,1,1,1,1,1,"yes","yes",5,4.13333333333333,4.35,1
"126",24,"Female","No Kids","deg","part-time",15000,"EFL Teacher/ Professional Researcher",2,4,"Large Town","Spain","Single","0",0,5,3,2,2,2,1,2,3,3,2,2,2,3,3,3,4,3,2,2,1,2,1,3,3,2,4,4,2,5,2,4,5,1,2,3,5,3,2,2,2,3,3,4,5,4,"yes","yes",2.8,2.4,2.85,3.8
"129",45,"Male","Yes Kids","phd","full-time",150000,"Doctor; Physician",14,0,"Large-City","Spain","Married","3",0,4,4,3,3,3,1,2,3,3,3,5,3,3,3,3,3,1,2,1,3,3,3,3,2,3,3,3,4,3,2,3,3,1,3,3,4,4,4,4,3,2,3,3,3,2,"yes","no",3.4,2.6,3.05,2.6
"130",32.5,"Female","Yes Kids","ma","full-time",15000,"",5,0,"Small Town","Spain","Married","0",1,4,4,1,2,2,5,2,3,3,3,5,4,5,2,4,4,3,5,2,3,4,4,3,5,3,2,4,3,4,5,3,4,4,2,5,5,5,5,1,3,2,2,2,4,2,"yes","no",2.6,3.53333333333333,3.7,2.4
"131",16.5,"Male","No Kids","lthigh","student",NA,"",3,0,"Rural/Country","Spain","Single","0",0,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,4,2,5,5,5,5,1,5,1,3,5,5,5,5,5,5,2,2,3,2,2,"yes","yes",5,4.33333333333333,4.3,2.2
"132",37.5,"Male","No Kids","ma","part-time",15000,"",0,7,"Village","Spain","Single","0",0,4,4,2,4,3,2,3,5,4,4,4,5,2,4,4,2,3,2,4,4,5,2,4,1,4,3,4,2,4,2,2,4,1,2,4,4,3,5,5,4,3,5,2,3,1,"yes","yes",3.4,3.46666666666667,3.25,2.8
"133",45,"Male","Yes Kids","phd","full-time",35000,"",6,0,"Village","Spain","Married","0",1,3,3,5,3,3,1,1,4,2,2,2,3,2,2,3,4,2,2,2,2,3,3,3,5,3,3,3,4,3,1,3,4,3,4,3,3,2,4,3,3,3,2,3,3,3,"yes","4",3.4,2.26666666666667,3.15,2.8
"134",37.5,"Female","Yes Kids","deg","full-time",35000,"",4,6,"Small Town","Spain","Single","1",0,4,4,4,4,4,4,2,5,5,5,5,5,4,4,4,5,3,4,3,5,4,4,4,5,5,2,4,3,4,4,3,4,3,3,5,5,4,5,5,5,3,3,3,3,3,"yes","no",4,4.2,4.05,3
"135",28,"Male","No Kids","high","full-time",25000,"",4,0,"Small Town","Spain","Single","0",0,5,5,4,4,4,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,3,4,5,5,5,5,4,5,3,4,5,3,5,5,5,5,5,5,5,1,3,3,1,2,"yes","yes",4.4,4.66666666666667,4.55,2
"136",32.5,"Male","Yes Kids","ma","full-time",45000,"IT Consultant",3,2,"Large-City","Chile","Married","0",1,4,3,3,2,2,2,4,5,5,5,4,5,4,5,5,3,4,4,4,3,5,1,3,5,2,2,4,3,5,4,4,4,3,5,4,5,4,5,5,5,3,3,3,3,3,"yes","yes",2.8,4.13333333333333,3.9,3
"137",45,"Female","No Kids","ma","full-time",25000,"",14,0,"Village","Chile","Married","0",0,3,3,2,2,2,1,1,3,4,2,1,2,3,2,3,3,2,2,1,3,3,3,5,5,5,4,2,2,2,3,2,2,1,2,3,1,1,5,3,4,4,4,4,4,3,"no","no",2.4,2.2,2.9,3.8
"138",23,"Male","No Kids","ltuni","student",10000,"",4,6,"Small Town","Chile","Single","0",0,3,4,4,4,4,4,4,4,5,4,4,4,4,4,5,3,5,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,4,3,4,4,4,5,5,5,2,1,4,2,1,"yes","yes",3.8,4.2,4.25,2
"139",45,"Male","Yes Kids","dip","full-time",150000,"",9,0,"Village","Chile","Separated","0",0,3,3,3,3,3,2,2,4,2,3,2,3,3,2,3,3,2,2,2,3,3,3,4,4,3,3,3,3,4,4,2,3,2,4,3,4,3,3,4,3,2,3,2,3,2,"yes","yes",3,2.53333333333333,3.25,2.4
"140",55,"Female","No Kids","dip","full-time",35000,"Software Engineer",23,0,"Village","Finland","Single","0",0,3,3,3,3,3,1,2,4,3,4,2,3,4,2,4,4,3,3,2,2,3,4,4,4,3,2,3,4,4,2,3,3,2,2,4,3,3,4,3,4,2,2,3,2,2,"yes","no",3,2.86666666666667,3.2,2.2
"143",16.5,"Female","No Kids","lthigh","student",NA,"",0,0,"Village","Finland","Single","0",0,3,4,5,3,3,2,2,2,4,4,4,2,4,3,4,2,3,4,3,2,3,1,4,3,3,3,4,4,4,4,2,4,3,4,4,4,4,5,5,5,2,4,1,1,1,"yes","no",3.6,3,3.65,1.8
"144",45,"Male","Yes Kids","ma","full-time",45000,"",5,0,"Large Town","Finland","Divorced","0",1,3,1,3,1,3,1,1,2,4,3,2,2,2,1,4,2,1,1,1,3,3,1,2,4,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,2,3,4,3,4,3,"no","yes",2.2,2,1.65,3.4
"145",55,"Female","Yes Kids","ma","full-time",10000,"",0,4,"Small Town","Finland","Divorced","3",0,5,5,5,5,5,2,2,2,5,5,4,4,4,3,5,2,4,4,4,5,5,5,5,2,3,3,4,5,5,5,5,5,3,2,5,4,5,4,5,5,1,1,1,1,1,"yes","yes",5,3.66666666666667,4.25,1
"146",28,"Female","No Kids","deg","part-time",15000,"",0,0,"Large Town","Finland","Single","0",0,5,5,5,5,5,4,4,5,4,5,3,5,5,5,5,4,5,5,5,5,4,4,4,4,5,4,5,5,5,4,4,5,4,4,5,5,4,5,5,5,2,2,2,2,2,"yes","yes",5,4.6,4.5,2
"147",28,"Male","No Kids","deg","unemployed",10000,"",0,0,"Large Town","Finland","Single","0",0,2,4,4,3,3,1,1,3,4,4,1,3,3,3,5,3,2,3,1,3,4,1,3,2,3,3,3,3,5,4,5,4,2,4,4,3,3,3,4,2,2,1,2,1,1,"yes","yes",3.2,2.66666666666667,3.25,1.4
"148",28,"Female","No Kids","phd","full-time",15000,"",4,0,"Small Town","Finland","Single","0",0,3,2,3,2,2,2,1,5,2,2,1,4,4,1,3,4,2,3,1,3,2,1,4,2,1,2,2,4,3,2,2,3,3,3,3,4,4,4,3,3,4,4,4,3,4,"no","no",2.4,2.53333333333333,2.75,3.8
"149",22,"Male","No Kids","ltuni","student",10000,"",0,0,"Small Town","Finland","Single","0",0,5,5,4,4,4,2,1,3,4,5,5,3,2,4,5,2,3,2,3,4,4,2,2,4,4,4,4,4,5,4,3,3,4,4,5,2,3,3,4,5,2,3,2,2,1,"yes","yes",4.4,3.2,3.65,2
"150",22,"Male","No Kids","ltuni","student",10000,"",0,0,"Small Town","Finland","Single","0",0,5,5,4,4,4,2,1,3,4,5,5,3,2,4,5,2,3,2,3,4,4,2,2,4,4,4,4,4,5,4,3,3,4,4,5,2,3,3,4,5,2,3,2,2,1,"yes","yes",4.4,3.2,3.65,2
"151",32.5,"Male","Yes Kids","phd","full-time",35000,"",0,4,"Large Town","Finland","Married","0",1,5,5,5,3,3,1,2,4,5,5,4,5,5,5,5,4,5,2,3,4,5,2,4,5,3,2,4,4,5,3,4,5,3,4,5,4,3,5,3,4,2,2,2,3,2,"yes","yes",4.2,3.93333333333333,3.85,2.2
"152",32.5,"Male","Yes Kids","ma","full-time",87500,"",6,0,"Village","Finland","Married","0",1,5,5,5,5,5,5,4,5,3,2,4,4,4,3,5,4,3,4,3,4,5,3,5,4,4,4,3,4,5,3,3,4,4,4,4,5,5,4,4,4,3,3,3,2,2,"yes","yes",5,3.8,4.05,2.6
"153",55,"Male","Yes Kids","deg","full-time",55000,"",3,3,"Large-City","Finland","Married","0",2,4,4,3,2,2,1,1,5,2,1,1,2,2,2,3,2,1,1,1,1,2,1,1,1,1,1,2,1,4,1,2,4,3,3,3,5,4,3,4,5,3,3,4,4,3,"no","no",3,1.73333333333333,2.55,3.4
"156",37.5,"Female","No Kids","ma","student",NA,"",0,0,"Village","New Zealand","Single","0",0,4,4,4,3,3,2,2,4,3,2,4,5,5,5,4,4,3,4,4,5,5,3,5,5,5,3,4,3,4,3,3,5,2,4,5,4,3,4,4,4,4,4,4,3,4,"yes","yes",3.6,3.73333333333333,3.9,3.8
"157",16.5,"Female","No Kids","high","student",10000,"",0,1,"Small Town","New Zealand","Single","0",0,3,4,5,3,2,3,1,3,2,1,2,1,2,1,2,3,1,5,1,1,3,2,1,5,3,3,3,4,4,1,3,2,2,4,3,2,3,3,3,3,3,3,3,3,2,"yes","yes",3.4,1.93333333333333,2.85,2.8
"158",16.5,"Female","No Kids","ltuni","student",10000,"",0,0,"Medium-Sized","New Zealand","Single","0",0,3,3,3,2,2,3,1,2,3,1,2,2,3,1,3,2,3,3,2,1,2,1,2,4,2,1,3,3,3,2,1,4,4,3,4,2,1,2,4,2,4,4,4,4,3,"yes","yes",2.6,2.13333333333333,2.5,3.8
"159",37.5,"Male","No Kids","deg","student",10000,"",1,6,"Small Town","New Zealand","Single","0",0,5,3,4,3,3,2,3,4,5,5,5,3,5,5,5,5,3,4,3,4,5,5,5,4,4,3,4,3,5,2,3,5,3,3,3,5,5,5,5,4,1,2,2,1,3,"yes","yes",3.6,4.06666666666667,4.05,1.8
"160",16.5,"Female","No Kids","lthigh","student",NA,"",0,0,"Medium-Sized","New Zealand","","0",0,4,1,4,3,5,1,1,5,3,2,1,4,2,3,3,1,1,2,2,4,5,3,2,3,4,2,4,3,5,2,2,5,1,2,5,2,4,4,4,3,2,1,2,2,3,"yes","yes",3.4,2.33333333333333,3.25,2
"162",28,"Male","No Kids","deg","full-time",35000,"",14,0,"Small Town","New Zealand","Single","0",0,2,3,1,1,1,2,4,4,5,3,5,4,5,2,5,4,5,2,5,3,5,2,3,4,4,3,4,1,4,2,4,3,2,3,4,4,3,4,3,4,4,3,3,3,3,"yes","yes",1.6,3.86666666666667,3.3,3.2
"164",22,"Male","No Kids","ma","part-time",10000,"",0,3,"Small Town","New Zealand","Single","0",0,3,4,4,3,3,4,2,4,3,3,3,4,3,3,3,3,4,4,2,4,4,3,2,3,2,3,3,3,4,3,4,4,2,3,4,4,3,3,4,3,3,3,3,3,2,"yes","yes",3.4,3.26666666666667,3.2,2.8
"165",28,"Female","No Kids","deg","full-time",45000,"",4,3,"Village","New Zealand","Single","0",0,4,3,3,1,1,1,1,1,4,2,1,2,2,5,4,3,3,2,4,1,4,2,3,4,4,3,2,3,4,5,3,3,1,1,1,5,2,3,2,4,4,4,5,5,4,"yes","yes",2.4,2.4,2.95,4.4
"166",24,"Female","No Kids","ltuni","full-time",35000,"",3,2,"Small Town","New Zealand","Single","0",0,2,3,3,2,2,1,2,5,2,3,2,2,3,4,3,4,3,4,2,2,3,4,4,2,4,3,3,4,4,2,3,4,2,3,3,4,4,3,4,3,4,4,4,4,4,"yes","yes",2.4,2.8,3.3,4
"167",32.5,"Female","Yes Kids","deg","unemployed",10000,"",3,0,"8","New Zealand","Married","0",2,4,4,2,2,2,1,1,5,3,3,5,4,3,4,4,4,4,4,3,4,5,3,4,5,3,4,5,2,4,4,4,5,1,4,5,3,3,5,4,5,3,3,3,4,3,"yes","yes",2.8,3.46666666666667,3.9,3.2
"168",32.5,"Female","Yes Kids","ltuni","part-time",15000,"",1,0,"Large-City","New Zealand","Married","1",6,4,4,4,4,4,4,2,3,2,4,5,5,4,5,5,3,3,4,2,5,5,4,4,4,4,3,5,4,5,3,4,5,3,3,4,5,5,4,5,3,2,2,2,2,2,"yes","yes",4,3.73333333333333,4.1,2
"169",45,"Female","Yes Kids","deg","part-time",45000,"",6,1,"Village","New Zealand","Married","0",1,2,2,1,1,1,1,2,5,2,3,3,2,4,3,4,1,2,3,2,2,4,1,2,4,3,2,4,2,4,2,4,3,1,2,4,2,2,5,1,4,4,3,5,5,4,"yes","no",1.4,2.6,2.8,4.2
"170",28,"Female","No Kids","ma","student",25000,"",0,10,"Village","New Zealand","Married","0",0,4,5,4,1,1,3,3,3,5,5,4,5,4,3,5,2,5,5,5,4,5,1,4,3,4,3,4,4,5,4,4,5,4,4,4,4,3,5,3,5,4,3,3,4,3,"yes","yes",3,4.06666666666667,3.9,3.4
"172",21,"Male","No Kids","ltuni","student",NA,"",3,0,"Village","Yugoslavia","Single","0",0,2,2,4,2,2,2,1,2,2,3,3,4,4,1,3,2,3,2,2,4,4,2,2,2,2,2,3,2,3,1,3,2,3,4,3,4,3,3,4,3,4,4,4,3,4,"yes","no",2.4,2.53333333333333,2.75,3.8
"173",37.5,"Male","No Kids","phd","full-time",150000,"Attorney",10,0,"Large-City","Romania","Married","0",0,2,1,3,1,1,2,1,5,2,1,1,1,2,1,1,1,1,4,1,3,3,1,2,4,1,1,3,2,4,1,1,3,1,1,3,4,1,2,3,2,4,4,4,3,4,"yes","no",1.6,1.8,2.15,3.8
"174",32.5,"Female","No Kids","ltuni","part-time",10000,"secretary",2,6,"Large-City","Romania","Single","0",0,4,3,3,2,2,3,2,3,3,3,5,2,4,3,3,2,2,4,2,3,3,2,3,3,3,2,3,4,3,3,2,3,4,3,4,4,2,4,3,4,3,4,2,2,2,"yes","no",2.8,2.93333333333333,3.1,2.6
"175",21,"Male","No Kids","deg","student",10000,"",3,0,"Village","Romania","Single","0",0,5,4,3,2,2,2,4,2,5,5,5,4,1,2,5,2,4,5,5,5,5,2,3,4,4,2,4,3,5,5,2,5,2,3,3,4,2,4,3,4,3,3,3,4,2,"yes","no",3.2,3.73333333333333,3.45,3
"176",25,"Female","No Kids","ltuni","full-time",15000,"",1,0,"Village","Romania","Single","0",0,3,2,4,5,5,3,4,1,4,5,3,5,4,4,5,4,5,5,4,3,5,3,3,5,4,3,2,4,5,2,4,5,4,5,5,4,4,5,5,5,3,2,2,4,5,"yes","no",3.8,3.93333333333333,4.1,3.2
"177",28,"Female","No Kids","high","unemployed",10000,"",1,6,"Small Town","Romania","Single","0",0,5,5,3,4,4,2,3,2,5,5,4,4,5,5,5,2,1,3,3,5,1,1,3,2,1,2,4,4,5,4,3,4,1,1,5,5,4,5,5,5,1,2,1,1,1,"yes","yes",4.2,3.6,3.25,1.2
"179",45,"Male","No Kids","deg","part-time",25000,"journalist (freelance)",7,0,"Large-City","Portugal","Married","0",0,4,4,4,5,4,2,3,3,3,3,5,2,4,4,5,3,3,1,3,5,5,3,4,5,4,2,4,5,5,3,2,5,2,5,4,5,3,5,2,5,1,1,1,1,1,"yes","yes",4.2,3.26666666666667,3.9,1
"182",23,"Female","No Kids","deg","part-time",10000,"nursing home",0,8,"Small Town","Portugal","Single","0",0,2,4,4,3,3,3,3,4,3,3,2,2,3,3,4,3,2,3,2,2,3,2,2,4,4,3,2,3,3,4,3,3,3,4,4,3,3,2,4,3,2,2,2,2,2,"yes","no",3.2,2.8,3.1,2
"183",28,"Female","Yes Kids","phd","full-time",15000,"",0,6,"Village","Portugal","Married","1",0,3,3,4,3,3,3,2,2,2,4,4,3,4,4,4,2,2,3,1,3,4,2,3,3,3,3,3,4,4,2,4,5,4,4,4,4,4,4,4,4,3,4,3,3,4,"yes","yes",3.2,2.86666666666667,3.6,3.4
"184",32.5,"Male","No Kids","ma","student",15000,"",4,0,"Village","Portugal","Single","0",0,4,4,5,4,4,1,2,3,3,5,3,4,4,3,5,2,3,2,3,4,5,3,3,5,2,3,4,3,5,4,4,5,1,1,3,3,3,5,4,5,3,4,4,3,3,"yes","yes",4.2,3.13333333333333,3.55,3.4
"185",32.5,"Female","Yes Kids","ma","part-time",10000,"",10,0,"Small Town","Portugal","Married","1",0,5,4,5,4,4,3,2,3,1,4,4,4,5,4,5,2,2,5,1,5,5,1,4,3,4,3,4,5,4,3,5,4,5,4,4,4,4,5,5,5,1,1,1,2,1,"yes","yes",4.4,3.33333333333333,4.05,1.2
"187",45,"Female","No Kids","phd","unemployed",87500,"",1,6,"Village","Thailand","Divorced","0",0,4,4,4,3,3,1,4,2,5,4,1,5,5,2,5,5,5,2,4,5,5,3,2,2,1,2,4,5,4,5,4,4,1,2,5,5,5,5,5,5,2,4,1,4,1,"yes","yes",3.6,3.66666666666667,3.7,2.4
"189",22,"Male","No Kids","ltuni","full-time",10000,"Software Engineer",1,0,"Large Town","Columbia","Single","0",0,5,5,5,5,5,3,4,5,5,3,5,5,3,4,5,5,3,5,4,5,5,5,2,5,5,5,3,5,5,4,4,5,4,3,3,4,5,5,5,5,4,5,4,4,2,"yes","no",5,4.26666666666667,4.35,3.8
"190",23,"Female","No Kids","deg","full-time",35000,"Teacher",0,7,"Large-City","China","Married","0",0,2,3,4,3,3,1,1,1,2,2,2,2,3,2,2,1,1,2,1,2,3,1,3,2,2,4,2,3,3,1,2,3,1,2,3,2,3,2,3,2,3,3,4,4,3,"yes","no",3,1.66666666666667,2.35,3.4
"191",37.5,"Female","No Kids","ma","full-time",67500,"Director of a language program",3,9,"Large-City","China","Divorced","0",0,3,3,2,1,1,1,2,2,3,2,3,1,3,2,3,4,5,3,3,3,3,2,2,4,4,3,3,4,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4,4,3,"yes","no",2,2.66666666666667,3.2,3.4
"192",28,"Female","No Kids","deg","full-time",10000,"Teacher",4,6,"Medium-Sized","China","Single","0",0,2,1,2,1,1,1,1,4,2,2,1,1,3,2,2,2,2,4,2,2,3,1,3,5,3,3,1,2,3,1,3,3,1,2,2,3,2,3,3,3,3,4,4,4,4,"no","no",1.4,2.06666666666667,2.5,3.8
"193",32.5,"Male","No Kids","dip","full-time",15000,"Teacher",3,6,"Large-City","China","Single","0",0,3,3,3,2,2,1,1,2,2,2,4,1,2,1,3,2,2,3,2,3,3,1,2,1,4,2,1,3,4,1,2,3,2,2,2,2,3,4,2,3,3,1,3,3,2,"yes","no",2.6,2.06666666666667,2.35,2.4
"194",28,"Male","Yes Kids","ma","full-time",10000,"",3,0,"Village","China","Married","1",0,5,5,3,3,3,3,2,4,4,5,5,3,5,5,5,5,3,4,4,4,5,3,3,3,3,4,4,3,5,4,3,4,4,4,4,5,4,5,5,4,1,2,2,2,3,"yes","no",3.8,4.06666666666667,3.95,2
"195",28,"Female","No Kids","ma","full-time",35000,"",1,0,"Village","China","Single","0",0,5,4,5,2,2,1,2,3,4,3,3,3,4,3,4,4,4,3,4,4,4,2,2,3,4,2,4,5,4,3,3,4,1,2,4,2,2,4,3,4,4,4,3,5,4,"yes","no",3.6,3.26666666666667,3.1,4
"196",16.5,"Female","No Kids","lthigh","student",NA,"",0,0,"Village","China","","0",0,5,5,5,4,4,1,3,5,3,2,4,5,5,2,4,3,3,5,4,1,5,4,4,3,4,3,3,5,5,3,4,5,2,3,5,5,4,5,5,5,2,3,2,4,1,"yes","yes",4.6,3.33333333333333,4.1,2.4
"197",28,"Male","No Kids","ma","full-time",15000,"",0,11,"Village","China","Single","0",0,4,4,2,2,2,3,2,4,3,3,5,4,3,3,4,1,3,3,2,4,3,3,4,3,2,3,3,3,4,2,2,3,3,3,3,3,4,3,4,3,3,3,4,3,2,"yes","no",2.8,3.13333333333333,3.05,3
"198",32.5,"Female","No Kids","dip","full-time",45000,"",4,1,"Village","China","Single","0",0,3,3,3,2,2,4,1,2,4,4,4,3,5,4,4,4,4,4,1,5,5,3,3,4,5,4,5,3,5,4,5,5,3,3,4,3,4,5,5,4,3,1,2,3,2,"yes","yes",2.6,3.53333333333333,4.1,2.2
"199",25,"Male","No Kids","deg","part-time",10000,"",2,0,"Village","China","Single","0",0,5,5,4,5,5,2,5,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,5,5,4,5,4,3,4,5,1,5,3,3,5,5,5,4,5,5,1,1,1,1,1,"yes","yes",4.8,4.53333333333333,4.25,1
